med,kur,skew,r_max,sigma_snr,engy,rms,Leith,Rician,growth_time,SPE,growth_time_power,Power_ratio_first,Power_ratio_second,Power_ratio_third,peak_number,engy_power,med_power,rms_power,kur_power,SPE_power,skew_power,Rician_power,type
0.008139649,35.69575916,4.835588604,194.564384,105.4152626,362498.4108,0.012629717,26.82865516,66.64789615,1064,0.000241991,0,1,0.590282198,0.594644326,4,66.59388779,298.0966374,26266.82803,55.30716951,0.015016393,6.72323357,64.76219961,0
0.006392297,55.51921466,6.077039961,194.7315684,105.4324408,477362.2627,0.011524584,42.91018089,112.8773662,1064,0.000281082,0,1,0.627182178,0.635583771,4,70.42700021,301.4973938,24994.99028,52.78343196,0.0141991,6.614564397,61.21208241,0
0.007988804,37.79742711,4.969100427,194.623269,105.4213147,367410.0494,0.012552681,28.3821885,74.30782689,1062,0.000254374,0,1,0.640124529,0.627232,4,70.89188463,300.9002634,25098.08245,52.40236127,0.014105987,6.591039976,60.80649749,0
0.008059049,38.92743409,5.03404038,192.4483234,105.1965534,357331.0971,0.01267396,29.0924584,76.97202175,1086,0.000262441,0,1,0.628231991,0.63783575,4,71.7101812,356.7090315,24524.53023,51.75374713,0.013945021,6.555883857,60.0707229,0
0.008114884,39.39680952,5.060876096,187.6421125,104.6907298,356105.4333,0.012762601,29.47345947,76.80690403,1086,0.000262847,0,1,0.647620257,0.648603992,4,72.79619115,354.97878,24015.11302,51.42413518,0.013736982,6.553297016,59.14810489,0
0.007237059,47.12745451,5.57871311,173.6032671,103.1354524,413532.8208,0.012130474,35.91432183,100.4721514,1103,0.000282273,0,1,0.708032808,0.706378277,4,79.98031564,359.4303442,24664.68445,47.4773776,0.012503076,6.335289334,53.90206657,0
0.043131041,81.69473845,7.733235277,178.7030211,103.7145066,923517.0715,0.008841922,72.01316697,131.1698023,1095,0.000193503,0,1,0.726505008,0.687351197,4,80.25992715,309.077704,23401.06628,47.3542654,0.012459518,6.335079655,53.68773096,0
0.00677508,46.8401787,5.617407474,178.9540131,103.7425773,448444.4196,0.01154189,36.54774957,101.3775246,1095,0.000274086,0,1,0.666692956,0.675719075,4,77.45232174,309.607762,24682.63413,47.64211985,0.012911169,6.314490985,55.68236736,0
0.006412106,49.62735225,5.786498682,170.0872196,102.7262272,455106.625,0.011076213,39.08975331,105.9299443,1100,0.000279555,0,1,0.726931039,0.719246785,5,83.29715272,314.7974195,24363.84115,45.53260233,0.012005212,6.215315711,51.7832379,0
0.00709409,41.94049039,5.311898226,176.5082546,103.4673529,403209.4868,0.011618522,32.70814531,84.71741783,1100,0.000263288,0,1,0.646017034,0.658835481,4,74.99846833,308.6569445,24565.55021,49.09485464,0.013333606,6.398547065,57.48091627,0
0.007160246,40.82288106,5.228168814,186.7541583,104.5958618,405842.1161,0.011398165,31.8753723,76.88905796,1100,0.000249989,0,1,0.648766761,0.649955417,4,74.56773277,356.740832,23315.71277,49.63677405,0.013410626,6.440554012,57.76706616,0
0.00672358,44.66689466,5.492562509,196.4698769,105.6101824,426585.623,0.01108091,35.16549005,83.42669978,1088,0.000255413,0,1,0.642758416,0.640989742,4,74.23733158,296.9331492,22127.38504,50.10574491,0.013470312,6.481928304,57.95990833,0
0.00730777,44.13939768,5.400992645,198.3055325,105.7961787,373740.1541,0.011561515,34.01510942,83.39973545,1088,0.00027115,0,1,0.650222925,0.670749342,4,75.61599107,302.3546893,23001.42987,49.60515635,0.013224716,6.458557596,56.93393649,0
0.005820183,53.33006562,6.072810102,200.6604248,106.032281,491859.4626,0.010469845,42.80283802,93.75116573,1086,0.000254848,0,1,0.62545617,0.644941001,4,72.9296318,353.5571643,22849.54849,50.97776447,0.013711848,6.524182922,59.03182285,0
0.00732556,43.0209654,5.360223679,197.3413334,105.6986977,370956.0995,0.011581763,33.20088639,75.59025972,1098,0.000258951,0,1,0.621285456,0.619735594,4,71.44990739,353.7169414,22698.9534,52.01597798,0.013995819,6.57258937,60.23966913,0
0.007022272,44.05285977,5.448198153,198.5340519,105.8192126,397596.3725,0.011509392,34.36792276,75.02234665,1098,0.000250058,0,1,0.655411043,0.628675202,4,74.76115273,352.6279052,20717.18788,50.25486549,0.013375931,6.497297534,57.52185979,0
0.007073927,40.90442521,5.261164321,200.1669057,105.9830309,398140.1267,0.011444376,32.12505851,72.46237997,1098,0.000245448,0,1,0.662758371,0.619215852,4,75.47002314,343.2461022,21209.59153,49.45837922,0.013250294,6.441765969,56.9956648,0
